id,driver_id,purpose,amount,date,notes,created_at
04c4d752-5b6b-4797-bed0-cf24c15c0e8d,,Food,205,2025-08-02,,2025-08-02 04:57:49.461408+00
262e9a47-3640-4a38-9196-8c2f67b446df,,Other,105,2025-08-16,coffee,2025-08-26 05:06:32.5366+00
275571d5-b438-4657-8eb4-69a8ed9c27e9,,Fuel,1000,2025-08-15,sx4,2025-08-16 12:09:02.661356+00
2758ba2d-ad72-4439-b596-f1ae94d49393,,Fuel,1000,2025-08-11,harrier,2025-08-11 04:22:01.856019+00
28f380a1-369f-4191-8cc6-036ae617cbe0,,Fuel,1000,2025-08-01,harrier,2025-08-01 04:50:41.674353+00
2c3e1874-5a44-471f-a328-d10d7daba6dd,,Food,200,2025-08-11,nashta,2025-08-11 04:13:32.825519+00
2c6e13f5-5286-4caa-a826-76a52c78b66e,,Food,250,2025-12-11,nashta,2025-12-11 11:59:32.431798+00
2e6a55f7-9f19-458f-b03c-12210f9a082f,,Fuel,1000,2025-08-14,baleno,2025-08-16 12:08:40.397478+00
32f800c1-9885-4f6a-9bca-7bb9774a380c,,Food,140,2025-08-11,nashta coffee,2025-08-11 04:12:59.503198+00
38d160f0-f1d5-4c86-b491-136d5ebaa59a,,Fuel,1000,2025-08-04,harrier,2025-08-05 12:51:19.56276+00
3cb83875-14f2-45c6-8d60-11fffc41fbc8,,Food,230,2025-08-07,nashta coffee,2025-08-07 11:41:27.623112+00
40597fa6-6b27-4ebc-a6aa-8925976c6981,,Fuel,1000,2025-08-26,baleno,2025-08-26 11:20:35.397341+00
4cbabac9-e7cc-436c-978b-b49f058959a7,,Food,120,2025-08-05,"nashta and coffee ",2025-08-05 05:30:39.979776+00
508a7225-261d-4509-afab-6d3b3e43a670,,Fuel,145,2025-08-16,nashta coffee,2025-08-16 12:11:59.280093+00
53188a7f-7e29-4e57-8ec4-c9629f14babe,,Food,100,2025-08-29,Nashta,2025-08-29 12:29:34.27872+00
5407dcfc-0f16-450a-ac03-0d762b510f75,,Fuel,1000,2025-08-29,"Baleno ",2025-08-29 12:24:42.543854+00
59b21d1d-b77f-4133-9477-c654164b095d,,Other,75,2025-12-11,coffee,2025-12-11 12:00:36.451987+00
5e4fb72f-3028-43ab-ad20-18cd184093c1,,Fuel,500,2025-08-02,sx4,2025-08-02 05:27:12.278685+00
61532f8f-1eb1-4bbb-9856-20822c13fb57,,Food,320,2025-08-06,nashta coffee,2025-08-07 11:40:46.518265+00
6a425d20-e50d-4398-a035-8300744e67fd,,Salaries,10000,2025-08-16,Rushikesh pawar,2025-08-26 05:03:40.917533+00
6aa4cc8e-6e56-46a8-9c5e-b39520942a4a,,Salaries,15000,2025-08-16,,2025-08-26 05:04:48.77111+00
6b4fc610-d177-449c-b95c-6d2b41540d82,,Fuel,1000,2025-08-12,sx4,2025-08-12 12:56:01.841534+00
6cfafa5d-d2f2-4709-b421-2b62730e654c,,EMI,29000,2025-08-16,,2025-08-26 04:56:18.083484+00
740fdd4c-a62e-4005-815e-fe1a0d173882,,Essentials,5500,2025-08-11,office rent,2025-08-11 12:05:02.620814+00
76e4409f-9b4e-4f43-acc6-1e2bf6ca61f8,,Food,213,2025-08-04,nashta coffee,2025-08-04 13:45:39.655275+00
77406dbb-d92c-45d3-9954-3ed099130db9,,Fuel,170,2025-08-15,nashta coffee,2025-08-16 12:11:37.517274+00
7c98bbf2-0785-4c71-a3cb-725c17ac215e,,Food,195,2025-08-08,nashta coffee,2025-08-11 04:11:10.553385+00
7db0e40e-4be5-4c69-82ff-06eb67ccf464,,Food,245,2025-08-14,nashta coffee,2025-08-16 12:11:01.623837+00
7e95fd0a-e60b-43e9-a3fe-2bbe0617451a,,Food,375,2025-08-13,coffee nashta,2025-08-16 12:10:28.676366+00
8685ffff-e296-4fa4-8330-1ee8c41683f7,,Fuel,1000,2025-08-09,sx4,2025-08-16 12:07:17.676033+00
86be76c8-eb8a-4f8d-8f65-65b693d5d0db,,Fuel,1000,2025-12-11,baleno,2025-12-11 12:01:01.429243+00
8d7b445f-9e4c-4e17-ab22-40cd44824644,,Fuel,1000,2025-08-07,"sx4 ",2025-08-07 11:41:56.009739+00
8db2d404-1520-4414-a087-6acfd94dab0d,,Fuel,1000,2025-08-25,"sx4 ",2025-08-26 11:20:16.257333+00
8f91975b-9155-48d7-ab69-770d61ba3c77,,Food,345,2025-08-12,nashta and coffee,2025-08-12 12:56:54.542279+00
9210fdc0-0402-4017-a835-42e042057b32,,Fuel,1000,2025-12-10,harrier,2025-12-11 12:02:08.377209+00
9770e848-290b-4af0-b792-b53d8829ca7c,,Fuel,1000,2025-08-06,,2025-08-16 12:06:15.745702+00
ae31fb68-68fa-4aa0-949f-1e684e7175fe,,Food,110,2025-08-28,,2025-08-28 06:31:50.642854+00
b43b30e2-9217-4ac0-94b6-6afa94955cf7,,Salaries,15000,2025-08-16,sachin,2025-08-26 05:04:19.09609+00
b4ecd1b6-a557-4fc5-8a72-dda08ec07500,,Food,265,2025-08-01,nashta and coffee,2025-08-01 04:50:11.623519+00
b67dbfb8-8503-413e-8576-6a25bf9c2099,,Fuel,1000,2025-08-06,baleno,2025-08-16 12:06:58.222376+00
b8bb5ea2-cb75-4b22-b2d5-0ea9070566b3,,Other,378,2025-08-16,Laundry,2025-08-26 05:05:55.905319+00
ba96d8b7-b7bd-411d-92b8-81095bb74265,,Salaries,10000,2025-09-18,"rushikesh ",2025-09-18 11:55:05.659455+00
bf307a76-802e-473c-ab1b-3cf77d068e67,,Salaries,600,2025-08-05,"kamwali Maushi ",2025-08-05 12:48:55.38941+00
c61a60a0-2b47-4de8-894b-ad534edf0c16,,Food,325,2025-08-07,nashta coffee,2025-08-11 04:10:26.64461+00
c83418f8-9236-428d-ba6a-5d7cb15edea5,,Essentials,700,2025-08-11,paper bill march to july 2025,2025-08-11 04:14:42.116444+00
c8cc711d-02f4-4a9f-83a2-381f7b7e4fe8,,Fuel,1000,2025-08-14,harrier,2025-08-15 09:24:51.654668+00
cc633a25-197e-4d4b-9c60-a17a02a1941b,,Fuel,1000,2025-08-12,sx4,2025-08-16 12:07:52.438182+00
d223cc5d-d42f-419c-8217-6dcc8b571236,,Food,225,2025-08-26,nashta coffee sudha,2025-08-26 11:19:47.132094+00
d751ec77-a1f4-472d-a307-1f5305703ac3,,Fuel,1000,2025-08-05,harrier,2025-08-05 05:29:41.611429+00
da4fbd68-791b-4443-aa44-b82a95620aa8,,Fuel,1000,2025-12-10,SX4,2025-12-11 12:01:37.458232+00
dbd1c36f-671f-4dc9-a0fc-f5aa3394c4ec,,Fuel,1000,2025-08-12,baleno,2025-08-12 12:57:21.027387+00
e0f4ae4c-5962-46d7-8025-4efa12405b5e,,Food,215,2025-08-09,,2025-08-11 04:11:40.766138+00
e6a3880b-b914-41aa-b0c3-cf6e7f1b9e1f,,Fuel,1000,2025-08-12,baleno,2025-08-16 12:08:09.048127+00
eb69aca7-378c-48d4-a1df-923d510835d4,,Fuel,1000,2025-08-06,baleno,2025-08-07 11:41:10.582897+00
fa2bbf08-c409-40d4-b6e7-fa1ae5938af5,,Maintenance,150,2025-08-05,"sx4 horn wiring ",2025-08-05 12:48:02.450975+00
